newid,pid,grp,classe,storia,mod,sex,age,score,n,dur,hz,good,pct_caption,pct_word,pct_image,pct_band,pct_face,pct_mouth,pct_eyes,pct_none,pct_face_only,pct_nose
IT18,F32,IT,1,tappeto,text,M,6,90,256,67.3,3.8,False,38.3,24.6,0.0,13.7,28.5,3.1,9.4,33.2,14.1,2.0
IT18,F32,IT,1,volpe e boscaiolo,images,M,6,60,627,75.0,8.4,True,78.9,22.3,43.5,13.1,14.8,3.0,4.6,6.2,6.4,0.8
IT19,F33,IT,1,tappeto,text,M,7,60,137,23.3,5.9,False,16.1,8.0,0.0,8.0,49.6,13.1,10.9,34.3,18.2,7.3
IT19,F33,IT,1,volpe e boscaiolo,images,M,7,90,740,75.0,9.9,True,11.8,2.2,1.9,7.7,17.2,8.8,2.2,71.1,5.8,0.4
IT20,F40,IT,1,tappeto,text,M,6,100,496,67.3,7.4,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
IT20,F40,IT,1,volpe e boscaiolo,images,M,6,40,642,75.0,8.6,True,48.0,19.9,14.6,13.4,19.9,0.6,1.4,32.1,17.9,0.0
IT21,F41,IT,1,tappeto,text,M,7,80,676,67.3,10.0,True,93.6,81.2,0.0,12.4,6.2,0.0,0.0,0.1,6.2,0.0
IT21,F41,IT,1,volpe e boscaiolo,images,M,7,60,751,75.0,10.0,True,83.2,53.1,17.3,12.8,12.8,0.0,0.0,4.0,12.8,0.0
TI01,B1,TI,2,tappeto,images,M,7,70,675,67.2,10.0,True,89.8,23.1,58.4,8.3,10.1,4.1,1.3,0.1,3.0,1.6
TI01,B1,TI,2,volpe e boscaiolo,text,M,7,80,752,75.0,10.0,True,62.1,47.2,0.0,14.9,36.0,22.3,1.5,1.9,6.5,5.7
TI02,B2,TI,2,tappeto,images,M,8,90,673,67.2,10.0,True,89.9,31.1,49.8,9.1,8.9,1.3,4.9,1.2,1.6,1.0
TI02,B2,TI,2,volpe e boscaiolo,text,M,8,100,753,75.0,10.0,True,64.3,51.3,0.0,13.0,24.6,2.5,10.9,11.2,9.0,2.1
TI03,B3,TI,5,anguille,text,M,11,80,1256,125.3,10.0,True,80.0,60.6,0.0,19.4,18.0,10.5,2.6,2.0,4.6,0.2
TI03,B3,TI,5,orso,images,M,11,57.1,1670,167.2,10.0,True,91.2,62.1,13.8,15.3,7.3,4.6,1.3,1.5,0.8,0.6
TI04,B4,TI,2,tappeto,images,M,7,100,673,67.2,10.0,True,67.8,36.7,18.3,12.8,15.2,0.9,3.6,17.1,10.3,0.4
TI04,B4,TI,2,volpe e boscaiolo,text,M,7,100,751,75.0,10.0,True,49.4,41.8,0.0,7.6,45.8,0.5,1.7,4.8,43.4,0.1
TI05,B5,TI,2,tappeto,images,F,7,70,195,50.8,3.8,False,67.7,13.8,47.2,6.7,32.3,9.2,4.6,0.0,9.2,9.2
TI05,B5,TI,2,volpe e boscaiolo,text,F,7,70,130,61.4,2.1,False,36.9,29.2,0.0,7.7,53.8,31.5,8.5,9.2,11.5,2.3
TI06,B6,TI,2,tappeto,images,F,7,100,675,67.2,10.0,True,91.0,42.7,18.2,30.1,5.9,0.0,0.1,3.1,5.8,0.0
TI06,B6,TI,2,volpe e boscaiolo,text,F,7,80,751,75.0,10.0,True,73.1,58.6,0.0,14.5,23.3,16.8,1.2,3.6,2.8,2.5
TI07,B7,TI,2,tappeto,images,M,7,90,261,67.1,3.9,False,82.4,28.7,18.0,35.6,8.4,3.8,2.3,9.2,2.3,0.0
TI07,B7,TI,2,volpe e boscaiolo,text,M,7,80,398,67.1,5.9,True,72.4,26.9,0.0,45.5,20.1,8.5,5.8,7.5,2.8,3.0
TI08,B8,TI,1,tappeto,images,M,8,80,538,67.2,8.0,True,0.0,0.0,0.0,0.0,22.1,0.9,0.0,77.9,21.2,0.0
TI08,B8,TI,1,volpe e boscaiolo,text,M,8,70,708,75.0,9.4,True,0.0,0.0,0.0,0.0,21.6,0.0,0.0,78.4,21.6,0.0
TI09,B9,TI,1,tappeto,images,F,7,60,675,67.2,10.0,True,80.0,30.2,38.7,11.1,18.2,4.4,5.5,1.8,3.3,5.0
TI09,B9,TI,1,volpe e boscaiolo,text,F,7,50,753,75.0,10.0,True,17.3,13.7,0.0,3.6,75.8,20.1,42.6,6.9,9.8,3.3
TI10,B10,TI,4,delfino,text,M,10,64.3,1491,149.4,10.0,True,83.6,70.1,0.0,13.5,10.9,6.1,1.8,5.5,2.4,0.6
