timestamp_us,x_px,y_px
22967001722,-1920.0,-1200.0
22967031773,-1920.0,-1200.0
22967061940,-1920.0,-1200.0
22967092005,-1920.0,-1200.0
22967122089,-1920.0,-1200.0
22971712367,-1920.0,-1200.0
22971742170,-1920.0,-1200.0
22973496337,-1920.0,-1200.0
22973526250,-1920.0,-1200.0
22973556122,-1920.0,-1200.0
22973586928,-1920.0,-1200.0
22973616138,-1920.0,-1200.0
22973646309,-1920.0,-1200.0
22973676466,-1920.0,-1200.0
22973706477,-1920.0,-1200.0
22973736828,-1920.0,-1200.0
22973767459,-1920.0,-1200.0
22973796714,-1920.0,-1200.0
22973827290,-1920.0,-1200.0
22973857135,-1920.0,-1200.0
22973887315,-1920.0,-1200.0
22973917496,-1920.0,-1200.0
22973947524,-1920.0,-1200.0
22973977442,-1920.0,-1200.0
22974007628,-1920.0,-1200.0
22974037955,-1920.0,-1200.0
22974067914,-1920.0,-1200.0
22974098574,-1920.0,-1200.0
22974128583,-1920.0,-1200.0
22974158911,-1920.0,-1200.0
22974188889,-1920.0,-1200.0
22974219166,-1920.0,-1200.0
22974249066,-1920.0,-1200.0
22974279716,-1920.0,-1200.0
22975492576,-1920.0,-1200.0
22975522550,-1920.0,-1200.0
22975552706,-1920.0,-1200.0
22975582515,-1920.0,-1200.0
22975613091,-1920.0,-1200.0
22975642916,-1920.0,-1200.0
22975672973,-1920.0,-1200.0
22975703029,-1920.0,-1200.0
22975733085,-1920.0,-1200.0
22975763142,-1920.0,-1200.0
22975793197,-1920.0,-1200.0
22975823254,-1920.0,-1200.0
22975853310,-1920.0,-1200.0
22975883366,-1920.0,-1200.0
22975913423,-1920.0,-1200.0
22975943478,-1920.0,-1200.0
22975973857,-1920.0,-1200.0
22976003674,-1920.0,-1200.0
22976033882,-1920.0,-1200.0
22976064163,-1920.0,-1200.0
22976094298,-1920.0,-1200.0
22976124506,-1920.0,-1200.0
22976154714,-1920.0,-1200.0
22976185170,-1920.0,-1200.0
22976215452,-1920.0,-1200.0
22976247031,-1920.0,-1200.0
22976275619,-1920.0,-1200.0
22976305901,-1920.0,-1200.0
22976336284,-1920.0,-1200.0
22976366170,-1920.0,-1200.0
22977361152,-1920.0,-1200.0
22977391324,-1920.0,-1200.0
22977421251,-1920.0,-1200.0
22977451708,-1920.0,-1200.0
22977481690,-1920.0,-1200.0
22977511925,-1920.0,-1200.0
22977541789,-1920.0,-1200.0
22977572020,-1920.0,-1200.0
22977602241,-1920.0,-1200.0
22977632473,-1920.0,-1200.0
22977662795,-1920.0,-1200.0
22977692962,-1920.0,-1200.0
22977723142,-1920.0,-1200.0
22977753451,-1920.0,-1200.0
22977783558,-1920.0,-1200.0
22977813670,-1920.0,-1200.0
22977843583,-1920.0,-1200.0
22977874127,-1920.0,-1200.0
22977904501,-1920.0,-1200.0
22977934626,-1920.0,-1200.0
22977964815,-1920.0,-1200.0
22977995069,-1920.0,-1200.0
22978025323,-1920.0,-1200.0
22978055605,-1920.0,-1200.0
22978085799,-1920.0,-1200.0
22978116044,-1920.0,-1200.0
22978146289,-1920.0,-1200.0
22978176520,-1920.0,-1200.0
22978206797,-1920.0,-1200.0
22978237014,-1920.0,-1200.0
22978267259,-1920.0,-1200.0
22978297503,-1920.0,-1200.0
22978327726,-1920.0,-1200.0
22978357947,-1920.0,-1200.0
22978388164,-1920.0,-1200.0
22978418460,-1920.0,-1200.0
22978448608,-1920.0,-1200.0
22978478803,-1920.0,-1200.0
22978508864,-1920.0,-1200.0
22978539154,-1920.0,-1200.0
22978569454,-1920.0,-1200.0
22978599671,-1920.0,-1200.0
22978629879,-1920.0,-1200.0
22978660028,-1920.0,-1200.0
22978690208,-1920.0,-1200.0
22978720512,-1920.0,-1200.0
22978750858,-1920.0,-1200.0
22978780915,-1920.0,-1200.0
22978811141,-1920.0,-1200.0
22978841372,-1920.0,-1200.0
22978871543,-1920.0,-1200.0
22978901751,-1920.0,-1200.0
22978931973,-1920.0,-1200.0
22978962080,-1920.0,-1200.0
22978992362,-1920.0,-1200.0
22979022560,-1920.0,-1200.0
22979052897,-1920.0,-1200.0
22979082976,-1920.0,-1200.0
22979113295,-1920.0,-1200.0
22979143374,-1920.0,-1200.0
22979173563,-1920.0,-1200.0
22979203771,-1920.0,-1200.0
22979233979,-1920.0,-1200.0
22979264128,-1920.0,-1200.0
22979294239,-1920.0,-1200.0
22979324465,-1920.0,-1200.0
22979354628,-1920.0,-1200.0
22979384449,-1920.0,-1200.0
22979414924,-1920.0,-1200.0
22979445173,-1920.0,-1200.0
22979475367,-1920.0,-1200.0
