timestamp_us,x_px,y_px
23449301760,949.02,1137.04
23449331816,950.42,1132.23
23449362088,938.02,1125.09
23449392135,897.85,1121.2
23449422252,849.15,1120.33
23449452492,803.97,1119.31
23449482580,768.99,1108.58
23449512715,747.22,1094.67
23449543006,729.92,1085.01
23449573024,718.86,1082.02
23449603315,713.86,1077.11
23449633344,703.04,1072.23
23449663635,689.55,1059.28
23449693779,686.83,1051.04
23449723876,685.47,1045.45
23449754097,681.43,1041.67
23449784204,677.54,1040.15
23449814436,678.7,1036.27
23449844515,679.54,1029.09
23449874852,681.25,1020.5
23449904940,684.01,1018.98
23449935162,692.21,1016.8
23449965241,699.03,1016.74
23449995490,701.59,1019.33
23450025588,699.26,1021.85
23450055915,697.43,1025.48
23450085954,696.7,1025.94
23450116217,694.94,1025.77
23450146351,690.86,1025.5
23450176591,689.06,1024.88
23450206648,688.23,1025.32
23450236938,692.22,1026.87
23450267257,699.4,1028.15
23450297373,710.55,1030.29
23450327700,723.3,1032.2
23450357816,736.46,1034.25
23450388084,746.04,1036.93
23450418164,755.65,1039.11
23450448510,765.15,1040.56
23450478662,758.49,1035.24
23450599995,364.29,984.74
23450660742,262.34,621.86
23450690950,255.15,458.81
23450721131,244.64,332.68
23450751206,204.43,279.9
23450781368,184.14,249.24
23450811512,168.76,228.06
23450841839,162.4,214.29
23450872139,157.0,201.03
23450902213,149.8,187.26
23450932467,148.19,180.15
23450962546,146.79,175.74
23450992787,145.41,176.24
23451022940,146.36,175.75
23451053180,144.18,140.01
23451083315,148.86,175.8
23451113642,149.11,174.02
23451143758,150.01,174.05
23451174007,150.55,174.43
23451204064,150.7,176.07
23451234303,150.38,176.65
23451264360,150.04,176.83
23451294733,149.62,176.8
23451324997,149.45,176.61
23451355168,149.3,175.81
23451385418,149.34,175.36
23451415515,148.96,174.55
23451445834,148.63,173.17
23451475898,148.3,171.9
23451506263,147.87,170.5
23451536342,146.93,168.61
23451566610,145.93,166.82
23451596726,144.97,165.23
23451627063,143.85,164.0
23451657312,143.66,161.98
23451687474,142.02,158.96
23451717581,139.64,155.89
23451747927,138.28,153.1
23451778186,137.71,150.6
23451808242,136.24,148.63
23451838588,134.78,147.24
23451868653,133.45,145.89
23451898999,132.54,143.92
23451929046,131.82,142.73
23451959374,131.0,140.97
23451989430,142.73,136.05
23452019509,253.76,114.71
23452049836,408.62,87.22
23452080105,521.25,66.03
23452110152,583.05,59.36
23452140470,618.49,59.13
