timestamp_us,x_px,y_px
23452170577,637.24,55.38
23452200877,705.91,54.03
23452231126,775.77,56.6
23452261279,823.4,57.1
23452291377,851.37,56.65
23452321645,868.87,58.88
23452351807,877.87,60.94
23452382116,883.55,62.38
23452412337,889.22,66.14
23452442508,892.04,65.99
23452472799,906.76,70.11
23452502961,919.75,77.08
23452533220,930.46,84.2
23452563327,939.93,86.19
23452593673,946.55,88.87
23452623789,951.6,91.63
23452654057,955.05,96.06
23452684210,957.65,97.35
23452714510,959.67,100.05
23452744759,961.91,102.77
23452774921,963.83,105.47
23452805267,965.51,106.64
23452835314,967.04,107.03
23452865581,967.77,106.57
23452895734,968.51,106.63
23452925984,968.81,106.83
23452956118,969.47,106.7
23452986368,969.31,107.28
23453016512,969.2,108.08
23453046760,969.56,108.06
23453076876,969.83,108.62
23453107222,970.28,108.52
23453137261,970.4,108.28
23453167528,970.67,108.85
23453197616,970.72,108.78
23453227962,970.82,108.81
23453258078,970.82,109.03
23453288424,971.08,109.33
23453318499,971.37,109.85
23453348809,971.55,110.47
23453379164,971.85,110.3
23453409220,971.96,110.84
23453439410,972.38,111.13
23453469659,972.94,112.27
23453500005,973.29,113.17
23453530080,973.52,113.57
23453560416,973.86,114.59
23453590472,973.93,115.79
23453620818,973.84,116.65
23453650884,974.29,117.17
23453681211,973.97,116.82
23453711277,973.69,116.57
23453741544,973.92,116.57
23453771688,973.89,116.53
23453802025,973.9,117.02
23453832063,974.08,117.95
23453862409,974.37,118.57
23453892488,974.53,119.47
23453922737,973.99,120.76
23453952881,973.99,121.61
23453983199,974.46,123.47
23454013333,974.73,125.49
23454043670,974.62,126.53
23454073718,973.96,127.74
23454103967,974.05,129.35
23454134065,973.78,131.01
23454164420,974.35,131.55
23454194651,974.69,132.49
23454224813,1031.08,136.6
23454255103,1308.4,158.11
23454285353,1555.33,164.41
23454315534,1685.18,158.0
23454345686,1743.1,146.01
23454375935,1770.51,138.02
23454405983,1783.0,134.15
23454436283,1789.36,133.16
23454466454,1793.97,134.03
23454496722,1796.93,135.68
23454527077,1800.14,136.16
23454557175,1802.08,134.53
23454587258,1803.39,133.16
23454617586,1804.44,131.44
23454647665,1805.73,131.11
23454677887,1807.42,131.5
23454708261,1808.84,131.32
23454738377,1810.93,130.41
23454768732,1814.9,130.46
23454798787,1818.74,130.45
23454829060,1822.14,131.07
23454859203,1825.71,131.81
23454889476,1828.77,131.97
23454919716,1831.06,131.21
23454949842,1833.22,131.08
23454980188,1834.67,130.68
23455010313,1836.15,130.01
23455040563,1837.38,128.92
23455070715,1838.14,127.58
23455100964,1839.02,127.82
23455131255,1839.36,126.81
23455161426,1839.36,125.34
23455191524,1839.05,123.54
23455221888,1839.53,122.01
23455252004,1840.21,119.9
23455282272,1841.25,118.11
23455312425,1841.62,115.96
23455342734,1843.45,113.52
23455372983,1844.12,111.4
23455403081,1844.55,109.62
23455433419,1845.22,107.41
23455463580,1846.81,105.91
23455493829,1848.07,105.72
23455524001,1848.89,105.35
23455554232,1850.05,105.52
23455584385,1850.47,105.44
23455614670,1850.73,105.62
23455644823,1851.19,105.79
23455675082,1851.47,105.81
23455705235,1851.71,106.4
23455735572,1851.74,107.26
23455765627,1851.79,107.54
23455795886,1851.62,107.72
23455826039,1851.82,108.61
23455856385,1852.19,109.19
23455886442,1852.36,109.0
23455916806,1852.6,108.89
23455946904,1852.28,109.05
23455977153,1851.97,109.13
23456007499,1851.5,109.14
23456037555,1850.86,109.79
23456067901,1850.87,110.83
23456097949,1850.83,111.6
23456128258,1850.9,112.67
23456158410,1851.17,113.26
23456188632,1851.34,113.48
23456218698,1851.7,113.95
23456249053,1852.03,115.22
23456279187,1851.88,115.65
23456309496,1851.35,115.31
23456339561,1850.94,115.61
23456369907,1850.67,117.3
23456399964,1843.72,198.44
23456430310,1808.18,551.61
23456460610,1774.98,919.91
23456491153,1768.12,1058.89
23456521251,1764.52,1106.6
23456551560,1760.19,1117.65
23456581561,1760.8,1126.51
23456611962,1763.78,1135.77
23456642060,1761.05,1136.34
23456672415,1763.71,1145.43
23456702398,1760.93,1145.02
23456732799,1758.23,1143.18
23456762800,1754.09,1139.64
23456792934,1766.37,1143.86
23456823280,1780.42,1144.61
23456853585,1790.58,1148.21
23456883637,1798.84,1148.71
23456913790,1805.11,1149.18
23456944338,1809.48,1147.62
23456974154,1813.33,1146.94
23457004377,1816.63,1148.61
23457034723,1819.43,1150.2
23457064798,1821.72,1150.66
23457095116,1824.5,1149.82
23457125517,1825.71,1148.72
23457155545,1826.56,1148.83
23457185565,1827.88,1149.37
23457216178,1828.75,1148.95
23457246082,1828.99,1148.52
23457276579,1829.12,1148.24
23457306465,1828.89,1147.72
23457336964,1829.32,1147.71
23457367034,1829.64,1148.15
23457397357,1829.85,1148.88
23457427261,1829.75,1148.37
23457457598,1829.62,1148.17
23457487645,1829.43,1147.74
23457517981,1829.83,1148.13
23457548231,1832.87,1153.03
23457578310,1832.25,1152.51
23457608684,1831.29,1152.52
23457638749,1834.43,1161.86
23457669076,1833.51,1160.65
23457699161,1833.02,1160.4
23457729410,1832.22,1159.4
23457759784,1831.4,1158.87
23457789891,1831.21,1157.75
23457820292,1831.14,1156.15
23457850789,1830.93,1154.02
23457880684,1830.8,1151.63
23457911279,1830.48,1149.59
23457941321,1830.21,1147.56
23457971626,1830.24,1145.6
23458001949,1830.25,1144.75
23458032028,1829.27,1143.98
23458062116,1828.28,1145.21
23458092421,1827.1,1145.14
23458122510,1826.92,1145.42
23458152815,1826.72,1144.66
23458182903,1826.49,1144.05
23458213207,1826.42,1146.25
23458243208,1832.59,1155.68
23458273094,1830.0,1153.42
23458303735,1829.38,1152.73
23458333538,1828.39,1151.62
23458364179,1828.45,1151.75
23458393991,1828.54,1152.51
23458424488,1828.41,1152.55
23458454586,1828.55,1153.07
23458484891,1828.33,1153.57
23458514699,1828.66,1152.88
23458545293,1828.86,1152.54
23458575198,1828.94,1152.47
23458605695,1829.29,1154.79
23458635696,1828.4,1154.4
23458666097,1828.53,1153.28
23458696195,1828.71,1152.87
23458726499,1798.4,1148.99
23458756597,1567.46,1155.58
23458786998,1229.31,1146.2
23458816921,1025.16,1134.07
23458846935,926.91,1124.61
23458877010,884.24,1119.65
23458907356,860.65,1119.59
23458937395,851.3,1120.57
23458967759,846.82,1127.06
23458997815,841.33,1129.22
23459028170,836.74,1128.54
23459058226,834.76,1128.44
23459088572,834.17,1126.38
23459118628,834.28,1123.48
23459148983,836.1,1122.02
23459179329,836.72,1120.52
23459209367,837.31,1120.28
23459239723,837.26,1119.02
23459269798,837.23,1117.68
23459300144,837.5,1116.39
23459330448,845.03,1114.73
23459360554,854.2,1113.44
23459391053,865.95,1112.43
23459420860,879.09,1112.95
23459451261,889.2,1111.26
23459481349,897.05,1110.25
23459511944,906.44,1108.32
23459541752,916.49,1105.49
23459572126,925.43,1102.85
23459602118,933.02,1099.42
23459632593,937.12,1095.64
23459663187,940.62,1093.49
23459692985,944.06,1089.52
23459723483,946.78,1084.48
23459753378,949.48,1080.81
23459783458,953.6,1074.99
23459814052,957.28,1070.81
23459844356,960.6,1070.98
23459874155,962.37,1071.16
23459904685,963.16,1071.38
23459934599,962.58,1071.46
23459965193,963.03,1071.73
23459995033,962.87,1071.96
23460025531,962.82,1072.12
23460055583,962.18,1072.49
23460085984,961.88,1072.07
23460115984,962.08,1071.39
23460146404,962.29,1070.78
23460176387,962.15,1070.66
23460206981,962.16,1070.6
23460236840,961.44,1069.82
23460267144,961.68,1068.67
23460297241,961.61,1067.35
23460327740,961.48,1064.82
23460357837,962.12,1063.7
23460388142,962.1,1062.55
23460418047,960.83,1062.53
23460448351,960.34,1061.67
23460478448,960.27,1060.76
23460508946,960.1,1060.49
23460538851,960.77,1060.67
23460569224,960.81,1059.59
23460599206,959.83,1058.95
23460629295,959.58,1059.38
23460659696,959.73,1059.57
23460689554,959.35,1060.0
23460720053,958.99,1060.6
23460749957,958.11,1062.19
23460780455,931.49,1063.5
23460810360,784.12,1072.38
23460840503,528.92,1079.25
23460870601,355.53,1073.71
23460900947,254.74,1064.75
23460931002,208.75,1059.68
23460961348,183.32,1060.38
23460991598,175.18,1058.31
23461021742,171.18,1057.04
23461052009,171.53,1055.19
23461082162,170.18,1053.58
23461112402,168.67,1053.11
23461142459,170.14,1051.5
23461172814,168.75,1053.84
23461202930,168.66,1054.05
23461233285,169.43,1055.03
23461263341,168.49,1055.37
23461293678,168.6,1056.63
23461323744,167.11,1056.45
23461354081,165.67,1055.56
23461384145,163.4,1054.91
23461414482,162.4,1054.75
23461444539,160.76,1054.49
23461474885,160.29,1053.47
23461504960,158.9,1053.32
23461535315,157.86,1053.3
23461565545,156.72,1052.74
23461595698,154.79,1052.31
23461625948,153.97,1052.09
23461656101,153.57,1051.55
23461686447,152.9,1051.24
23461716484,152.78,1050.63
23461746734,151.79,1050.02
23461776905,151.73,1049.29
23461807196,150.65,1049.44
23461837252,149.32,1049.63
23461867598,147.03,1050.68
23461897709,145.26,1051.86
23461928037,143.93,1051.65
23461958121,142.2,1051.58
23461988370,140.25,1051.4
23462018532,139.09,1051.3
23462048878,138.31,1051.43
23462078934,138.1,1050.59
23462109280,137.64,1051.06
23462139558,137.21,1051.76
23462169595,136.83,1052.05
23462199932,136.41,1051.92
23462230084,136.68,1052.08
23462260343,136.4,1052.33
23462290478,136.12,1051.99
23462320736,135.09,1052.54
23462350986,135.1,1052.3
23462381138,134.63,1052.33
23462411291,134.35,1052.09
23462441541,134.2,1052.16
23462471703,133.81,1051.88
23462501943,133.95,1051.61
23462532095,133.91,1051.48
23462562469,133.67,1051.2
23462592622,133.24,1051.52
23462622890,133.18,1051.67
23462653139,133.02,1052.09
23462683292,133.16,1052.23
23462713541,133.0,1052.39
23462743607,132.88,1052.1
23462773935,132.94,1052.18
23462804106,132.85,1051.77
23462834346,133.06,1051.2
23462864375,137.5,1047.74
23462894721,243.72,999.67
23462925030,533.33,858.17
23462955183,742.55,734.6
23462985441,842.86,672.94
23463015690,883.3,651.36
23463045843,903.73,642.47
23463076093,909.98,637.31
23463106191,913.37,635.6
23463136537,917.23,634.43
23463166620,919.38,632.87
23463196948,920.24,631.22
23463227004,921.28,630.23
23463257350,923.55,629.27
23463287407,924.03,630.11
23463317752,924.71,631.17
23463347808,924.63,631.3
23463378154,924.82,631.41
23463408404,924.98,630.62
23463438575,925.4,630.03
23463468728,925.43,628.72
23463499000,925.35,627.04
23463529065,925.49,624.86
23463559315,925.76,622.24
23463589661,926.35,619.67
23463619717,926.35,618.53
23463650053,926.0,617.45
23463680225,926.35,615.55
23463710474,927.3,612.33
23463740618,927.1,609.0
23463770886,927.2,607.1
23463801039,927.1,605.0
23463831306,927.92,603.03
23463861441,928.23,601.06
23463891690,928.35,599.04
23463921843,928.78,597.36
23463952084,929.03,595.73
23463982158,928.89,594.27
23464012495,928.54,593.35
23464042647,928.56,593.15
23464072888,928.41,594.16
23464103041,928.81,594.49
23464133290,928.75,595.08
23464163433,928.83,596.62
23464193779,929.39,599.27
23464224029,931.16,603.41
23464254108,932.21,607.66
23464284454,932.98,614.95
23464314510,934.99,621.37
23464344856,935.74,626.77
23464374912,933.85,631.24
23464405277,930.31,637.27
23464435517,931.26,643.05
23464465573,934.22,648.34
23464495937,933.89,654.89
23464526274,934.71,659.57
23464556445,936.44,664.16
23464586484,937.37,667.82
23464616857,937.21,672.54
23464646894,935.41,677.84
23464677259,932.93,681.7
23464707509,934.64,683.31
23464737661,933.7,686.23
23464767934,934.71,689.44
23464797990,933.73,692.37
23464828318,931.08,694.47
23464858627,930.56,697.97
23464888876,932.24,701.97
23464919010,933.16,704.07
23464949320,931.36,705.78
23464979376,928.62,709.78
23465009548,930.82,712.47
23465039603,930.44,717.27
23465069949,931.47,720.59
23465100015,938.05,720.9
23465130361,939.58,721.9
23465160523,938.81,722.78
23465190814,938.68,723.62
23465221091,938.96,722.93
23465251253,938.86,722.4
23465281318,941.38,722.04
23465311645,939.79,722.68
23465341914,939.31,723.47
23465372076,938.88,724.84
23465402324,900.2,760.39
23465432477,698.7,957.03
23465462534,292.6,1508.54
23465492604,85.84,1816.67
23465522922,68.29,1900.28
23465553029,43.27,1904.42
23465583357,26.13,1917.01
23465613395,18.9,1985.68
23465643722,5.44,2040.16
23465673971,13.42,1986.17
23465704124,16.14,1960.15
23465734383,8.28,1964.83
23465764411,8.31,1968.25
23465794670,47.55,1964.98
23465824795,140.97,1935.29
23465855123,265.69,1906.52
23465885478,365.56,1895.75
23465915613,430.29,1867.56
23465945949,469.94,1870.44
23465976120,488.84,1864.42
23466006457,542.46,1851.31
23466036610,576.72,1819.8
23466066965,594.63,1798.57
23466097003,605.82,1784.48
23466127349,621.3,1791.27
23466157493,630.11,1788.77
23466187830,634.83,1787.92
